popolazione,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
18 t/m 24_10.000-19.999,0.46153846153846156,0.358974358974359,0.07692307692307693,0.5641025641025641,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.41025641025641024,0.1282051282051282,0.3076923076923077,0.358974358974359,0.05128205128205128,0.05128205128205128,0.46153846153846156,0.3333333333333333,0.10256410256410256,0.48717948717948717,0.358974358974359,0.1794871794871795,0.07692307692307693,0.3076923076923077,0.1282051282051282,0.3076923076923077,0.23076923076923078,0.05128205128205128,0.0,0.02564102564102564,0.358974358974359,0.48717948717948717,0.3076923076923077,0.10256410256410256,0.4358974358974359,0.4358974358974359,0.3076923076923077,0.23076923076923078,0.46153846153846156,0.10256410256410256,0.23076923076923078,0.2564102564102564,0.20512820512820512,0.5641025641025641,0.0,0.4736842105263158,0.5526315789473685,0.5416666666666666,0.5,0.5197368421052632,0.4453125,0.4357142857142857,0.4117647058823529,0.4342105263157895,0.59375,0.5384615384615384,0.3055555555555556,0.39583333333333337,0.3819444444444444,0.5681818181818182,0.3308823529411765,0.3571428571428571,0.4632352941176471,0.34090909090909094,0.5333333333333333,0.296875,0.40384615384615385,0.3793103448275862,0.4354838709677419,0.3653846153846154,0.3782051282051282
18 t/m 24_20.000-29.999,0.42424242424242425,0.15151515151515152,0.09090909090909091,0.36363636363636365,0.30303030303030304,0.12121212121212122,0.21212121212121213,0.21212121212121213,0.12121212121212122,0.18181818181818182,0.2727272727272727,0.12121212121212122,0.0,0.3333333333333333,0.24242424242424243,0.06060606060606061,0.24242424242424243,0.3333333333333333,0.09090909090909091,0.06060606060606061,0.24242424242424243,0.09090909090909091,0.18181818181818182,0.12121212121212122,0.12121212121212122,0.0,0.06060606060606061,0.24242424242424243,0.24242424242424243,0.42424242424242425,0.15151515151515152,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.15151515151515152,0.12121212121212122,0.09090909090909091,0.30303030303030304,0.12121212121212122,0.0,0.21212121212121213,0.0,0.446969696969697,0.5859375,0.6439393939393939,0.6532258064516129,0.578125,0.5,0.46875,0.553030303030303,0.5859375,0.5606060606060606,0.5,0.453125,0.5075757575757576,0.4140625,0.578125,0.5083333333333333,0.46875,0.5258620689655172,0.5080645161290323,0.5078125,0.4193548387096774,0.4224137931034483,0.5,0.5277777777777778,0.38636363636363635,0.40909090909090906
18 t/m 24_5.000-9.999,0.23529411764705882,0.29411764705882354,0.0,0.47058823529411764,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.0,0.35294117647058826,0.17647058823529413,0.11764705882352941,0.29411764705882354,0.23529411764705882,0.11764705882352941,0.0,0.29411764705882354,0.11764705882352941,0.17647058823529413,0.29411764705882354,0.0,0.0,0.0,0.23529411764705882,0.47058823529411764,0.23529411764705882,0.17647058823529413,0.35294117647058826,0.17647058823529413,0.11764705882352941,0.23529411764705882,0.17647058823529413,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.23529411764705882,0.0,0.5441176470588235,0.47058823529411764,0.6071428571428571,0.5333333333333333,0.609375,0.4642857142857143,0.4107142857142857,0.359375,0.59375,0.546875,0.5,0.4666666666666667,0.5178571428571429,0.375,0.5892857142857143,0.3666666666666667,0.41666666666666663,0.515625,0.41666666666666663,0.6346153846153846,0.4107142857142857,0.4807692307692307,0.4807692307692307,0.4821428571428571,0.4558823529411765,0.4558823529411765
18 t/m 24_less than 4.999,0.4117647058823529,0.3382352941176471,0.014705882352941176,0.5735294117647058,0.4264705882352941,0.10294117647058823,0.3088235294117647,0.19117647058823528,0.14705882352941177,0.27941176470588236,0.3235294117647059,0.07352941176470588,0.04411764705882353,0.5147058823529411,0.38235294117647056,0.10294117647058823,0.6029411764705882,0.36764705882352944,0.07352941176470588,0.2647058823529412,0.22058823529411764,0.11764705882352941,0.29411764705882354,0.20588235294117646,0.08823529411764706,0.029411764705882353,0.014705882352941176,0.4117647058823529,0.5147058823529411,0.25,0.22058823529411764,0.29411764705882354,0.29411764705882354,0.3088235294117647,0.17647058823529413,0.29411764705882354,0.04411764705882353,0.29411764705882354,0.058823529411764705,0.07352941176470588,0.38235294117647056,0.04411764705882353,0.4915254237288136,0.7007575757575758,0.6982758620689655,0.6057692307692307,0.515625,0.5204081632653061,0.45175438596491224,0.4330357142857143,0.5732758620689655,0.6622807017543859,0.5196078431372549,0.4464285714285714,0.4305555555555556,0.4305555555555556,0.614406779661017,0.43500000000000005,0.35377358490566035,0.4952830188679245,0.38181818181818183,0.5348837209302325,0.36057692307692313,0.4852941176470589,0.4308510638297872,0.44999999999999996,0.4963235294117647,0.36397058823529416
18 t/m 24_more than 30.000,0.2608695652173913,0.21739130434782608,0.08695652173913043,0.30434782608695654,0.21739130434782608,0.13043478260869565,0.21739130434782608,0.21739130434782608,0.17391304347826086,0.13043478260869565,0.2608695652173913,0.21739130434782608,0.043478260869565216,0.30434782608695654,0.043478260869565216,0.08695652173913043,0.391304347826087,0.43478260869565216,0.17391304347826086,0.13043478260869565,0.17391304347826086,0.2608695652173913,0.13043478260869565,0.21739130434782608,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.30434782608695654,0.30434782608695654,0.34782608695652173,0.30434782608695654,0.2608695652173913,0.17391304347826086,0.17391304347826086,0.13043478260869565,0.17391304347826086,0.13043478260869565,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.17391304347826086,0.0,0.4375,0.5714285714285714,0.5882352941176471,0.4852941176470589,0.5416666666666666,0.59375,0.5,0.48684210526315785,0.45833333333333337,0.5526315789473685,0.484375,0.34375,0.3529411764705882,0.35526315789473684,0.5555555555555556,0.45833333333333337,0.4444444444444444,0.5147058823529411,0.4411764705882353,0.4666666666666667,0.4117647058823529,0.328125,0.4444444444444444,0.3088235294117647,0.44565217391304346,0.32608695652173914
25 t/m 34_10.000-19.999,0.43137254901960786,0.19607843137254902,0.0196078431372549,0.45098039215686275,0.27450980392156865,0.09803921568627451,0.2549019607843137,0.3137254901960784,0.0392156862745098,0.3137254901960784,0.19607843137254902,0.0392156862745098,0.0,0.3137254901960784,0.23529411764705882,0.09803921568627451,0.5686274509803921,0.21568627450980393,0.17647058823529413,0.1568627450980392,0.17647058823529413,0.0392156862745098,0.2549019607843137,0.0784313725490196,0.0196078431372549,0.0,0.0784313725490196,0.45098039215686275,0.39215686274509803,0.3137254901960784,0.19607843137254902,0.3137254901960784,0.27450980392156865,0.17647058823529413,0.0784313725490196,0.29411764705882354,0.0784313725490196,0.1568627450980392,0.058823529411764705,0.0784313725490196,0.29411764705882354,0.0,0.421875,0.5,0.5869565217391305,0.5284090909090909,0.525,0.5365853658536586,0.38372093023255816,0.36413043478260865,0.45744680851063835,0.5654761904761905,0.4695121951219512,0.423469387755102,0.41145833333333337,0.3804347826086957,0.5625,0.40625,0.3780487804878049,0.45731707317073167,0.3833333333333333,0.4852941176470589,0.38690476190476186,0.5,0.4013157894736842,0.41874999999999996,0.3921568627450981,0.3529411764705882
25 t/m 34_20.000-29.999,0.45,0.25,0.1,0.475,0.275,0.15,0.275,0.2,0.125,0.225,0.275,0.025,0.0,0.3,0.15,0.275,0.5,0.25,0.125,0.25,0.075,0.1,0.2,0.225,0.025,0.025,0.0,0.25,0.25,0.25,0.15,0.5,0.3,0.225,0.15,0.325,0.1,0.175,0.125,0.2,0.3,0.0,0.5069444444444444,0.5263157894736842,0.6410256410256411,0.4930555555555556,0.5131578947368421,0.4797297297297297,0.3851351351351351,0.40625,0.45625000000000004,0.5743243243243243,0.484375,0.38815789473684215,0.4144736842105263,0.41216216216216217,0.625,0.36184210526315785,0.36111111111111116,0.472972972972973,0.3851351351351351,0.4772727272727273,0.3205128205128205,0.42647058823529416,0.3680555555555556,0.4097222222222222,0.38749999999999996,0.38749999999999996
25 t/m 34_5.000-9.999,0.6190476190476191,0.23809523809523808,0.047619047619047616,0.6666666666666666,0.23809523809523808,0.19047619047619047,0.3333333333333333,0.2857142857142857,0.09523809523809523,0.5714285714285714,0.23809523809523808,0.09523809523809523,0.0,0.5238095238095238,0.38095238095238093,0.19047619047619047,0.6190476190476191,0.23809523809523808,0.19047619047619047,0.19047619047619047,0.14285714285714285,0.0,0.5238095238095238,0.09523809523809523,0.047619047619047616,0.0,0.09523809523809523,0.6190476190476191,0.47619047619047616,0.19047619047619047,0.09523809523809523,0.3333333333333333,0.42857142857142855,0.14285714285714285,0.09523809523809523,0.3333333333333333,0.047619047619047616,0.2857142857142857,0.19047619047619047,0.19047619047619047,0.5714285714285714,0.09523809523809523,0.4736842105263158,0.5694444444444444,0.6578947368421053,0.6,0.5625,0.484375,0.3529411764705882,0.368421052631579,0.5263157894736842,0.6805555555555556,0.625,0.475,0.48684210526315785,0.453125,0.7058823529411765,0.42105263157894735,0.390625,0.5555555555555556,0.32894736842105265,0.5535714285714286,0.39473684210526316,0.4558823529411765,0.4411764705882353,0.5,0.5119047619047619,0.34523809523809523
25 t/m 34_less than 4.999,0.5166666666666667,0.2,0.0,0.5,0.4,0.15,0.21666666666666667,0.15,0.03333333333333333,0.35,0.18333333333333332,0.0,0.03333333333333333,0.45,0.23333333333333334,0.1,0.5,0.31666666666666665,0.06666666666666667,0.2,0.05,0.05,0.3,0.11666666666666667,0.016666666666666666,0.03333333333333333,0.11666666666666667,0.36666666666666664,0.38333333333333336,0.3333333333333333,0.08333333333333333,0.31666666666666665,0.36666666666666664,0.25,0.11666666666666667,0.31666666666666665,0.06666666666666667,0.2,0.11666666666666667,0.05,0.3333333333333333,0.06666666666666667,0.46499999999999997,0.6339285714285714,0.5931372549019608,0.5928571428571429,0.5425531914893617,0.5384615384615384,0.4184782608695652,0.4117647058823529,0.5677083333333334,0.6166666666666667,0.55,0.4336734693877551,0.44565217391304346,0.41836734693877553,0.685,0.4078947368421053,0.40340909090909094,0.524390243902439,0.33720930232558144,0.5142857142857142,0.38953488372093026,0.47058823529411764,0.3716216216216216,0.4512195121951219,0.5458333333333333,0.36250000000000004
25 t/m 34_more than 30.000,0.45714285714285713,0.3142857142857143,0.14285714285714285,0.4857142857142857,0.2857142857142857,0.08571428571428572,0.2,0.4,0.2857142857142857,0.4,0.4,0.22857142857142856,0.02857142857142857,0.4857142857142857,0.4857142857142857,0.3142857142857143,0.6,0.37142857142857144,0.3142857142857143,0.22857142857142856,0.34285714285714286,0.2,0.42857142857142855,0.42857142857142855,0.17142857142857143,0.02857142857142857,0.0,0.5428571428571428,0.37142857142857144,0.4,0.34285714285714286,0.45714285714285713,0.4857142857142857,0.2857142857142857,0.4,0.45714285714285713,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.3142857142857143,0.4,0.02857142857142857,0.4117647058823529,0.5808823529411765,0.5833333333333334,0.578125,0.4696969696969697,0.48275862068965514,0.43939393939393945,0.5078125,0.3939393939393939,0.6370967741935484,0.4464285714285714,0.43181818181818177,0.46212121212121215,0.4,0.5833333333333334,0.4,0.43181818181818177,0.467741935483871,0.3790322580645161,0.4354838709677419,0.28125,0.475,0.33333333333333337,0.4453125,0.4285714285714286,0.3928571428571429
35 t/m 44_10.000-19.999,0.5263157894736842,0.2894736842105263,0.05263157894736842,0.7105263157894737,0.3026315789473684,0.10526315789473684,0.3815789473684211,0.2631578947368421,0.09210526315789473,0.4473684210526316,0.2236842105263158,0.02631578947368421,0.06578947368421052,0.47368421052631576,0.3157894736842105,0.25,0.6447368421052632,0.21052631578947367,0.13157894736842105,0.27631578947368424,0.18421052631578946,0.09210526315789473,0.35526315789473684,0.17105263157894737,0.06578947368421052,0.02631578947368421,0.07894736842105263,0.5921052631578947,0.34210526315789475,0.3157894736842105,0.14473684210526316,0.4605263157894737,0.4868421052631579,0.23684210526315788,0.21052631578947367,0.4342105263157895,0.17105263157894737,0.34210526315789475,0.13157894736842105,0.23684210526315788,0.5131578947368421,0.013157894736842105,0.5071428571428571,0.5892857142857143,0.573076923076923,0.5508474576271186,0.5151515151515151,0.4872881355932204,0.3706896551724138,0.35317460317460314,0.5294117647058824,0.5912698412698413,0.5324074074074074,0.33203125,0.3790322580645161,0.38636363636363635,0.5597014925373134,0.39224137931034486,0.39655172413793105,0.4717741935483871,0.3104838709677419,0.4727272727272728,0.31640625,0.4409090909090909,0.3584905660377359,0.3701923076923077,0.4375,0.3980263157894737
35 t/m 44_20.000-29.999,0.43902439024390244,0.4878048780487805,0.17073170731707318,0.5121951219512195,0.36585365853658536,0.07317073170731707,0.5609756097560976,0.34146341463414637,0.17073170731707318,0.43902439024390244,0.2926829268292683,0.04878048780487805,0.04878048780487805,0.3170731707317073,0.3902439024390244,0.4634146341463415,0.5853658536585366,0.2682926829268293,0.17073170731707318,0.4146341463414634,0.21951219512195122,0.14634146341463414,0.36585365853658536,0.21951219512195122,0.0975609756097561,0.04878048780487805,0.0975609756097561,0.4878048780487805,0.2926829268292683,0.3170731707317073,0.24390243902439024,0.43902439024390244,0.4146341463414634,0.2682926829268293,0.21951219512195122,0.43902439024390244,0.24390243902439024,0.3170731707317073,0.0975609756097561,0.34146341463414637,0.6097560975609756,0.04878048780487805,0.4,0.6216216216216216,0.6857142857142857,0.6171875,0.5675675675675675,0.5859375,0.4015151515151515,0.375,0.4473684210526315,0.6148648648648649,0.4285714285714286,0.3141025641025641,0.38636363636363635,0.3648648648648649,0.5576923076923077,0.32352941176470584,0.375,0.5071428571428571,0.3928571428571429,0.603448275862069,0.40441176470588236,0.4558823529411765,0.359375,0.375,0.4390243902439024,0.36585365853658536
