,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_5.000-9.999,18 t/m 24_less than 4.999,18 t/m 24_more than 30.000,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_5.000-9.999,25 t/m 34_less than 4.999,25 t/m 34_more than 30.000,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_5.000-9.999,35 t/m 44_less than 4.999,35 t/m 44_more than 30.000,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_5.000-9.999,45 t/m 54_less than 4.999,45 t/m 54_more than 30.000,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_5.000-9.999,55 t/m 70_less than 4.999,55 t/m 70_more than 30.000
18 t/m 24_10.000-19.999,1.0,0.5231100578447654,0.5988034677179717,0.6084850851820868,0.44910570348302037,0.6926400492138454,0.6182876658173118,0.5818616152580386,0.5812103357521319,0.6564246770795897,0.7091056676286545,0.6413794663052671,0.6152288853586921,0.5215253821240818,0.5572985990486659,0.591280579056973,0.4947594315510514,0.48916568357949924,0.5689166677989915,0.4254248802579809,0.5817655388772477,0.5200388614890337,0.6192450516763675,0.5114986252690626,0.47417457203956215
18 t/m 24_20.000-29.999,0.5231100578447654,1.0,0.3674727513303943,0.5130411624904364,0.29047584224352585,0.48716945258854505,0.5410557170186571,0.4545700590932229,0.5244359001747596,0.5424426843765491,0.5072955832768328,0.635265380420814,0.5235609465527277,0.6216898911108248,0.34849882465748455,0.4509703663984488,0.3737931724942825,0.47140434699450695,0.5233436842692862,0.29088175583191156,0.45978790873749176,0.4160678410762471,0.49847577139168353,0.4883661804824377,0.2516854456043115
18 t/m 24_5.000-9.999,0.5988034677179717,0.3674727513303943,1.0,0.6312502002729138,0.38668835416838665,0.6986677348868063,0.5031502067035998,0.5527761557711681,0.6021991958893895,0.4422596155006204,0.552757526076918,0.5189197004791295,0.5342768612714788,0.46154018051046736,0.5959301903713004,0.4741665984255325,0.5021705057702059,0.43453902225150176,0.44760995837034145,0.43345214293199,0.4771969969007348,0.42475296767298687,0.49917945480613185,0.37137966622573476,0.3786785685732762
18 t/m 24_less than 4.999,0.6084850851820868,0.5130411624904364,0.6312502002729138,1.0,0.4115841517502527,0.654953997419697,0.4852341423505817,0.5123999939120856,0.7616736567589455,0.4286761665540958,0.5478582866934383,0.5608768231773104,0.6260137736679272,0.6152770393055123,0.5531386897311796,0.47910592256534407,0.4281996175241281,0.46835900684255155,0.551036864797579,0.3469744890020319,0.5277861496870174,0.4839535828845536,0.5673051691734723,0.46084482202304583,0.33506423003704766
18 t/m 24_more than 30.000,0.44910570348302037,0.29047584224352585,0.38668835416838665,0.4115841517502527,1.0,0.6254471991601765,0.43585410966045307,0.6388616414760787,0.4312772694901934,0.29192061618567694,0.5443707892590297,0.5188651036466626,0.5505008580216907,0.42190318905842544,0.37352322762045,0.5523045774346877,0.4623321878625124,0.5252006479374811,0.5138100548232123,0.37514312699726327,0.47970249190681935,0.4326687917517856,0.5411281657486535,0.4576326668707509,0.35411056485458425
25 t/m 34_10.000-19.999,0.6926400492138454,0.48716945258854505,0.6986677348868063,0.654953997419697,0.6254471991601765,1.0,0.6902573963056765,0.8147013976113845,0.750533268226271,0.4955320872333826,0.8470584667990478,0.782896612562452,0.8349934440144815,0.6389019093550008,0.7617377935139047,0.808488914139689,0.7238391511544294,0.6906153493480647,0.660348234038414,0.6757931796636643,0.7959104047459749,0.7512585763114737,0.8202895273659347,0.5875110645623294,0.6325325367782167
25 t/m 34_20.000-29.999,0.6182876658173118,0.5410557170186571,0.5031502067035998,0.4852341423505817,0.43585410966045307,0.6902573963056765,1.0,0.6476138459299577,0.5421361382509571,0.6735446712957696,0.6870612688254056,0.7031243880175182,0.6371722000575764,0.6592478352432368,0.47920828259289167,0.7028371498138417,0.551743968557292,0.6540370625407379,0.6859769157053197,0.44725125487013356,0.6278916267202793,0.5884126162561375,0.6819806091200072,0.6736347846531217,0.42867201876171257
25 t/m 34_5.000-9.999,0.5818616152580386,0.4545700590932229,0.5527761557711681,0.5123999939120856,0.6388616414760787,0.8147013976113845,0.6476138459299577,1.0,0.6744243547245466,0.45827103932322477,0.7948572868283293,0.7626373250674555,0.7850793427944438,0.7054483624529098,0.6017530102476083,0.7821259211883037,0.6238738932064821,0.8214611321639939,0.7688262418896311,0.5130810817791202,0.7350122611896033,0.6696398337562254,0.8099727516059922,0.7109727915821472,0.5134379172742073
25 t/m 34_less than 4.999,0.5812103357521319,0.5244359001747596,0.6021991958893895,0.7616736567589455,0.4312772694901934,0.750533268226271,0.5421361382509571,0.6744243547245466,1.0,0.4769410757553249,0.6555963724940754,0.6827153044532022,0.7749106718485193,0.7177518763135688,0.6171642241194213,0.5950617517959865,0.4820505616181199,0.6060709442755106,0.6840788124370117,0.43107458214005306,0.6349088387478793,0.5841703405699182,0.6990791654398459,0.5877033942062034,0.4328378885982496
25 t/m 34_more than 30.000,0.6564246770795897,0.5424426843765491,0.4422596155006204,0.4286761665540958,0.29192061618567694,0.4955320872333826,0.6735446712957696,0.45827103932322477,0.4769410757553249,1.0,0.5447747696370613,0.5295471000838246,0.4920853717042512,0.5388551554885017,0.3733318044726525,0.5017013930379293,0.3676893608031777,0.4719735024103904,0.5703264821857682,0.3080051656697636,0.4834825795246795,0.4378867594973046,0.5265323538494036,0.5293031722183936,0.33296941168813404
35 t/m 44_10.000-19.999,0.7091056676286545,0.5072955832768328,0.552757526076918,0.5478582866934383,0.5443707892590297,0.8470584667990478,0.6870612688254056,0.7948572868283293,0.6555963724940754,0.5447747696370613,1.0,0.8012651630066092,0.7518879090529298,0.6685499286277415,0.6921557659643757,0.8608931312112263,0.7224875748984078,0.7320705760341459,0.7097364903474688,0.6608992088656103,0.8375395477692053,0.7797227100230063,0.8639585911982944,0.6835503589415434,0.6344990016669888
35 t/m 44_20.000-29.999,0.6413794663052671,0.635265380420814,0.5189197004791295,0.5608768231773104,0.5188651036466626,0.782896612562452,0.7031243880175182,0.7626373250674555,0.6827153044532022,0.5295471000838246,0.8012651630066092,1.0,0.7446775157313041,0.698566287339697,0.6626852477096703,0.7321607935612117,0.648710383004651,0.6814864520132041,0.6940986197741208,0.5667394834607345,0.7304838189082721,0.675906665771354,0.7842949210202559,0.6597265570785776,0.5170631150275465
35 t/m 44_5.000-9.999,0.6152288853586921,0.5235609465527277,0.5342768612714788,0.6260137736679272,0.5505008580216907,0.8349934440144815,0.6371722000575764,0.7850793427944438,0.7749106718485193,0.4920853717042512,0.7518879090529298,0.7446775157313041,1.0,0.726036713886932,0.6143390058273235,0.7602103319056152,0.5703828142049467,0.7207932405308105,0.7191574162340112,0.5099870029106948,0.7586916218127675,0.6783364761688128,0.8015104813167389,0.668758350931969,0.5254965859551334
35 t/m 44_less than 4.999,0.5215253821240818,0.6216898911108248,0.46154018051046736,0.6152770393055123,0.42190318905842544,0.6389019093550008,0.6592478352432368,0.7054483624529098,0.7177518763135688,0.5388551554885017,0.6685499286277415,0.698566287339697,0.726036713886932,1.0,0.43591487696473796,0.6635329913083023,0.4443255649268541,0.7492111772585993,0.7857256425604827,0.3564158277998837,0.6394733149883236,0.5721426543029977,0.7140620553200951,0.7807410050334999,0.31580792929887463
35 t/m 44_more than 30.000,0.5572985990486659,0.34849882465748455,0.5959301903713004,0.5531386897311796,0.37352322762045,0.7617377935139047,0.47920828259289167,0.6017530102476083,0.6171642241194213,0.3733318044726525,0.6921557659643757,0.6626852477096703,0.6143390058273235,0.43591487696473796,1.0,0.591019678914528,0.6461506585375822,0.4764177964614325,0.4594513347737276,0.6482548272003212,0.648853218859306,0.6565348854590982,0.6160223448870455,0.3778401504296077,0.6509801817981815
45 t/m 54_10.000-19.999,0.591280579056973,0.4509703663984488,0.4741665984255325,0.47910592256534407,0.5523045774346877,0.808488914139689,0.7028371498138417,0.7821259211883037,0.5950617517959865,0.5017013930379293,0.8608931312112263,0.7321607935612117,0.7602103319056152,0.6635329913083023,0.591019678914528,1.0,0.7508277494634122,0.8255661562050897,0.7428313823130086,0.6739466425217332,0.8995599988967742,0.8571649245830854,0.9110421092973583,0.7263484813874296,0.6399108189806401
45 t/m 54_20.000-29.999,0.4947594315510514,0.3737931724942825,0.5021705057702059,0.4281996175241281,0.4623321878625124,0.7238391511544294,0.551743968557292,0.6238738932064821,0.4820505616181199,0.3676893608031777,0.7224875748984078,0.648710383004651,0.5703828142049467,0.4443255649268541,0.6461506585375822,0.7508277494634122,1.0,0.6194138842527591,0.5025903923626718,0.7434125196254368,0.7579341293848021,0.7319817060104516,0.7335454236818859,0.4604296878675638,0.6397150975444128
45 t/m 54_5.000-9.999,0.48916568357949924,0.47140434699450695,0.43453902225150176,0.46835900684255155,0.5252006479374811,0.6906153493480647,0.6540370625407379,0.8214611321639939,0.6060709442755106,0.4719735024103904,0.7320705760341459,0.6814864520132041,0.7207932405308105,0.7492111772585993,0.4764177964614325,0.8255661562050897,0.6194138842527591,1.0,0.8409866647421966,0.4891049166883254,0.8102414729001132,0.7311405057013344,0.8309945007241748,0.8030925082034294,0.4408004892437168
45 t/m 54_less than 4.999,0.5689166677989915,0.5233436842692862,0.44760995837034145,0.551036864797579,0.5138100548232123,0.660348234038414,0.6859769157053197,0.7688262418896311,0.6840788124370117,0.5703264821857682,0.7097364903474688,0.6940986197741208,0.7191574162340112,0.7857256425604827,0.4594513347737276,0.7428313823130086,0.5025903923626718,0.8409866647421966,1.0,0.40430094706299285,0.7392314574974349,0.6534832859447145,0.8148219086325039,0.8870585356382154,0.4014755232520352
45 t/m 54_more than 30.000,0.4254248802579809,0.29088175583191156,0.43345214293199,0.3469744890020319,0.37514312699726327,0.6757931796636643,0.44725125487013356,0.5130810817791202,0.43107458214005306,0.3080051656697636,0.6608992088656103,0.5667394834607345,0.5099870029106948,0.3564158277998837,0.6482548272003212,0.6739466425217332,0.7434125196254368,0.4891049166883254,0.40430094706299285,1.0,0.6711348432259905,0.7226783760791753,0.606990375149723,0.34834024386484247,0.678085410448329
55 t/m 70_10.000-19.999,0.5817655388772477,0.45978790873749176,0.4771969969007348,0.5277861496870174,0.47970249190681935,0.7959104047459749,0.6278916267202793,0.7350122611896033,0.6349088387478793,0.4834825795246795,0.8375395477692053,0.7304838189082721,0.7586916218127675,0.6394733149883236,0.648853218859306,0.8995599988967742,0.7579341293848021,0.8102414729001132,0.7392314574974349,0.6711348432259905,1.0,0.9027225382629387,0.927621593929301,0.6953428067870733,0.6474746729627289
55 t/m 70_20.000-29.999,0.5200388614890337,0.4160678410762471,0.42475296767298687,0.4839535828845536,0.4326687917517856,0.7512585763114737,0.5884126162561375,0.6696398337562254,0.5841703405699182,0.4378867594973046,0.7797227100230063,0.675906665771354,0.6783364761688128,0.5721426543029977,0.6565348854590982,0.8571649245830854,0.7319817060104516,0.7311405057013344,0.6534832859447145,0.7226783760791753,0.9027225382629387,1.0,0.8432829781146608,0.6060593486965781,0.6670555220545411
55 t/m 70_5.000-9.999,0.6192450516763675,0.49847577139168353,0.49917945480613185,0.5673051691734723,0.5411281657486535,0.8202895273659347,0.6819806091200072,0.8099727516059922,0.6990791654398459,0.5265323538494036,0.8639585911982944,0.7842949210202559,0.8015104813167389,0.7140620553200951,0.6160223448870455,0.9110421092973583,0.7335454236818859,0.8309945007241748,0.8148219086325039,0.606990375149723,0.927621593929301,0.8432829781146608,1.0,0.7912581004466639,0.632790267367259
55 t/m 70_less than 4.999,0.5114986252690626,0.4883661804824377,0.37137966622573476,0.46084482202304583,0.4576326668707509,0.5875110645623294,0.6736347846531217,0.7109727915821472,0.5877033942062034,0.5293031722183936,0.6835503589415434,0.6597265570785776,0.668758350931969,0.7807410050334999,0.3778401504296077,0.7263484813874296,0.4604296878675638,0.8030925082034294,0.8870585356382154,0.34834024386484247,0.6953428067870733,0.6060593486965781,0.7912581004466639,1.0,0.3596139190484739
55 t/m 70_more than 30.000,0.47417457203956215,0.2516854456043115,0.3786785685732762,0.33506423003704766,0.35411056485458425,0.6325325367782167,0.42867201876171257,0.5134379172742073,0.4328378885982496,0.33296941168813404,0.6344990016669888,0.5170631150275465,0.5254965859551334,0.31580792929887463,0.6509801817981815,0.6399108189806401,0.6397150975444128,0.4408004892437168,0.4014755232520352,0.678085410448329,0.6474746729627289,0.6670555220545411,0.632790267367259,0.3596139190484739,1.0
